# distance_m,vel_mps
5086.59605,25.70000
5091.59270,26.50667
5096.58936,27.72706
5101.58602,28.91770
5106.58267,30.00032
5111.57933,30.99473
5116.57599,31.91545
5121.57264,32.77345
5126.56930,33.57729
5131.56595,34.33377
5136.56261,35.04841
5141.55927,35.72574
5146.55592,36.36955
5151.55258,36.98307
5156.54923,37.56900
5161.54589,38.12973
5166.54255,38.66728
5171.53920,39.18346
5176.53586,39.62531
5181.53252,40.05855
5186.52917,40.48351
5191.52583,40.90048
5196.52248,41.30972
5201.51914,41.71150
5206.51580,42.10606
5211.51245,42.49363
5216.50911,42.87444
5221.50577,43.24710
5226.50242,43.60878
5231.49908,43.96003
5236.49573,44.30135
5241.49239,44.63323
5246.48905,44.95609
5251.48570,45.27034
5256.48236,45.57636
5261.47902,45.87451
5266.47567,46.16511
5271.47233,46.44847
5276.46898,46.72488
5281.46564,46.99461
5286.46230,47.25792
5291.45895,47.51504
5296.45561,47.76621
5301.45227,48.01163
5306.44892,48.25152
5311.44558,48.48606
5316.44223,48.71543
5321.43889,48.93981
5326.43555,49.15935
5331.43220,49.37423
5336.42886,49.58457
